GER,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
331,Foreign Minister,Konrad Adenauer,1936,1964,1999,6,Great Compromiser,Very High,M50,X
332,Minister of Armament,Adam Stegerwald,1936,1964,1999,6,Laissez-Faire Capitalist,High,kaiserreich adamstegerwald,X
333,Head of Military Intelligence,Franz Josef Strauss,1936,1964,1999,6,Industrial Specialist,High,M506027,X
334,Minister of Security,Karl Arnold,1936,1964,1999,6,Crime Fighter,High,M129,X
337,Chief of Navy,Herrmann Mootz,1936,1964,1999,6,Indirect Approach Doctrine,Medium,L506297,X
339,Head of State,Heinrich Brüning,1936,1964,1999,6,Weary Stiffneck,Medium,kaiserreich heinrichbruning,X
340,Head of State,Adam Stegerwald,1936,1964,1999,6,Die-hard Reformer,High,kaiserreich adamstegerwald,X
341,Head of Government,Konrad Adenauer,1936,1964,1999,6,Silent Workhorse,High,M50,X
342,Head of Government,Konrad Adenauer,1936,1964,1999,6,Corporate Suit,High,M50,X
343,Head of Government,Ludwig Kaas,1936,1964,1999,6,Happy Amateur,High,kaiserreich ludwigkaas,X
344,Head of Government,Adam Stegerwald,1936,1964,1999,6,Ambitious Union Boss,High,kaiserreich adamstegerwald,X
345,Foreign Minister,Ludwig Kaas,1936,1964,1999,6,Ideological Crusader,Very High,kaiserreich ludwigkaas,X
346,Minister of Armament,Fritz Schäffer,1936,1964,1999,6,Laissez-Faire Capitalist,Very High,M103,X
347,Minister of Armament,Ludwig Erhard,1936,1964,1999,6,Administrative Genius,Very High,M104,X
350,Minister of Armament,Heinrich Brüning,1936,1964,1999,6,Balanced Budget Economy,Medium,kaiserreich heinrichbruning,X
351,Minister of Security,Josef Wirmer,1936,1964,1999,7,Man of the People,High,M125,X
353,Minister of Security,Robert Lehr,1936,1964,1999,6,Man of the People,Medium,M506005,X
354,Minister of Security,Gustav Heinemann,1936,1964,1999,6,Silent Lawyer,High,M130,X
355,Head of Military Intelligence,Hans Ehard,1936,1964,1999,6,Political Specialist,High,M149,X
356,Head of Military Intelligence,Theodor Blank,1936,1964,1999,6,Political Specialist,Medium,M506006,X
358,Chief of Staff,Oskar Hansen,1936,1964,1999,6,School of Manoeuvre,Medium,L118,X
359,Chief of Air Force,Alfred Bülowius,1936,1964,1999,6,Air Superiority Doctrine,Medium,L431,X
360,Chief of Air Force,Herrmann Ehlers,1936,1964,1999,5,Naval Aviation Doctrine,Medium,M506038,X
362,Chief of Air Force,Herrmann Ehlers,1936,1964,1999,5,Naval Aviation Doctrine,Medium,M506038,X
364,Head of State,S.K.M. Friedrich Wilhelm V von Romanov,1936,1964,1999,6,Russian Aristocrat,High,Friedrich Wilhelm V,X
366,Head of State,S.K.M. Ruprecht I von Bayern,1936,1964,1999,6,Popular Figurehead,High,RuprechtI,X
368,Head of State,S.K.M. Ernest August I von Hannover,1936,1964,1999,6,Popular Figurehead,High,Ernst_August_III,X
370,Head of State,Gerd von Rundstedt,1936,1964,1999,7,Resigned Generalissimo,High,Rundstedt,X
372,Head of Government,Fedor von Bock,1936,1964,1999,7,Old General,High,FedorvonBock,X
373,Head of State,S.K.M. Friedrich Wilhelm V von Romanov,1936,1964,1999,7,Russian Aristocrat,High,Friedrich Wilhelm V,X
374,Head of State,S.K.M. Ruprecht I von Bayern,1936,1964,1999,7,Popular Figurehead,High,RuprechtI,X
375,Head of State,S.K.M. Ernest August I von Hannover,1936,1964,1999,7,Popular Figurehead,High,Ernst_August_III,X
376,Head of State,S.K.M. Wilhelm II von Preussen,1936,1964,1999,4,Weltkrieg Emperor,High,kaiserreich wilhelmiih,X
377,Head of State,S.K.M. Wilhelm III von Preussen,1941,1964,1999,4,Moderate Kaiser,High,M37,X
378,Head of State,S.K.M. Wilhelm IV von Preussen,1936,1964,1999,4,Benevolent Gentleman,High,kaiserreichwilhelmIV,X
379,Head of Government,Alfred von Tirpitz,1920,1934,1935,7,Old Admiral,High,1454,X
380,Head of State,S.K.M. Felix I von Habsburg-Lothringen,1936,1964,1999,6,Benevolent Gentleman,High,kai_felhablot,X
381,Head of State,S.K.M. Felix I von Habsburg-Lothringen,1936,1964,1999,7,Benevolent Gentleman,High,kai_felhablot,X
382,Head of Government,Georg von Hertling,1917,1934,1935,6,Backroom Backstabber,High,3437,X
383,Head of State,S.K.M. Wilhelm II von Preussen,1914,1934,1935,7,Stern Imperialist,High,3451,X
384,Head of Government,Herbert Frahm,1936,1964,1999,3,Flamboyant Tough Guy,Very High,kai_herbfrahm,X
385,Chief of Staff,Theodor von Hippel,1936,1970,1999,7,School of Psychology,Very High,kaiserreichhippel,X
386,Head of Government,Kuno von Westarp,1936,1937,1937,6,Silent Workhorse,Medium,kaiserreichvonwestarp,X
387,Foreign Minister,Ulrich von Hassel,1936,1964,1999,7,Biased Intellectual,High,M13,X
388,Head of Government,Ulrich von Hassel,1936,1964,1999,7,Flamboyant Tough Guy,High,M13,X
