JAP,Ruling Cabinet - Start,Name,Ideology,Personality,Picturename
,Chief of Air Force,Sugawara Michio,7,Air Superiority Doctrine,MJAPSugawara
,Head of Military Intelligence,Suzuki Kantaro,7,Political Specialist,M5037
,Minister of Security,Tago Kazutami,7,Compassionate Gentleman,MJAPTago
,Chief of Navy,Toyoda Soemu,7,Decisive Naval Battle Doctrine,MJAPToyoda3
,Chief of Air Force,Toyoda Teijiro,7,Naval Aviation Doctrine,MJAPToyoda2
,Chief of Navy,Toyoda Teijiro,7,Base Control Doctrine,MJAPToyoda2
,Foreign Minister,Toyoda Teijiro,7,General Staffer,MJAPToyoda2
,Minister of Armament,Toyoda Teijiro,7,Steel Magnate,MJAPToyoda2
,Minister of Armament,Tsutsumi Yasujiro,7,laissez-faire capitalist,MJAPTsutsumi
,Minister of Armament,Uchida Nobuya,7,Battle Fleet Proponent,MJAPUchida
,Minister of Security,Ushio Shigenosuke,7,Crime Fighter,MJAPUshio
,Minister of Security,Yamazaki Tatsunosuke,7,Compassionate Gentleman,MJAPYamazaki
,Minister of Security,Abe Genki,8,Secret Police Chief,MJAPAbe2
,Minister of Armament,Akinaga Tsukizo,8,Military Entrepreneur,MJAPAkinaga
,Chief of Air Force,Anami Korechika,8,Vertical Envelopment Doctrine,MJAPAnami
,Chief of Army,Anami Korechika,8,Static Defence Doctrine,MJAPAnami
,Chief of Staff,Anami Korechika,8,School of Psychology,MJAPAnami
,Minister of Armament,Aoki Kazuo,8,Planned Economy Proponent,MJAPAoki
,Chief of Air Force,Doihara Kenji,8,Army Aviation Doctrine,MJAPDoihara
,Minister of Security,Fujie Keisuke,8,Prince of Terror,M5115
,Chief of Navy,Fushimi Hiroyasu,8,Power Projection Doctrine,MJAPFushimi
,Minister of Armament,Godo Takuo,8,Steel Magnate,MJAPGodo
,Chief of Army,Hattori Takushiro,8,Decisive Battle Doctrine,MJAPHattori
,Chief of Staff,Hattori Takushiro,8,School of Defence,MJAPHattori
,Head of Government,Hayashi Senjuro,8,Old General,MJAPHayashi2
,Chief of Air Force,Higashikuni Naruhiko,8,Carpet Bombing Doctrine,MJAPHigashikuni
,Head of Military Intelligence,Higuchi Kiichiro,8,Logistics Specialist,MJAPHiguchi
,Minister of Security,Hirabayashi Morito,8,Compassionate Gentleman,MJAPHirabayashi
,Head of Government,Hiranuma Kiichiro,8,Backroom Backstabber,MJAPHiranuma2
,Foreign Minister,Honda Kumataro,8,Iron Fisted Brute,MJAPHonda
,Head of Military Intelligence,Honma Masaharu,8,Dismal Enigma,MJAPHonma
,Minister of Security,Iimura Jo,8,Crime Fighter,MJAPIimura
,Head of Military Intelligence,Iwakuro Hideo,8,Dismal Enigma,MJAPIwakuro
,Chief of Army,Kanin Kotohito,8,Static Defence Doctrine,MJAPKanin2
,Chief of Staff,Kanin Kotohito,8,School of Defence,MJAPKanin2
,Minister of Security,Kato Hakujiro,8,Man of the People,M5124
,Minister of Armament,Kobayashi Ichizo,8,Resource Industrialist,MJAPKobayashi
,Chief of Army,Koiso Kuniaki,8,Guns and Butter Doctrine,MJAPKoiso
,Chief of Staff,Koiso Kuniaki,8,School of Defence,MJAPKoiso
,Head of Military Intelligence,Koiso Kuniaki,8,Industrial Specialist,MJAPKoiso
,Minister of Armament,Koiso Kuniaki,8,Air Superiority Proponent,MJAPKoiso
,Foreign Minister,Komai Tokuzo,8,The Cloak N Dagger Schemer,MJAPKomai
,Chief of Air Force,Kozono Yasuna,8,Air Superiority Doctrine,MJAPKozono
,Chief of Army,Nagata Tetsuzan,8,Decisive Battle Doctrine,MJAPNagata
,Chief of Staff,Nagata Tetsuzan,8,School of Mass Combat,MJAPNagata
,Head of Government,Nagata Tetsuzan,8,Old General,MJAPNagata
,Minister of Security,Nakajima Kesago,8,Man of the People,MJAPNakajima
,Minister of Security,Nakamura Aketo,8,Crime Fighter,MJAPNakamura
,Head of Military Intelligence,Okamura Yasuji,8,Political Specialist,MJAPOkamura
,Minister of Armament,Onishi Takijiro,8,Air to Sea Proponent,MJAPOnishi
,Chief of Navy,Osumi Mineo,8,Decisive Naval Battle Doctrine,MJAPOsumi
,Head of Military Intelligence,Ota Kozo,8,Technical Specialist,MJAPOta
,Chief of Navy,Shimada Shigetaro,8,Indirect Approach Doctrine,MJAPShimada2
,Head of Government,Shiono Suehiko,8,Corporate Suit,MJAPShiono
,Minister of Security,Shiono Suehiko,8,Efficient Sociopath,MJAPShiono
,Head of Government,Shoda Kazue,8,Naive Optimist,MJAPShoda
,Minister of Armament,Shoda Kazue,8,Laissez-Faire Capitalist,MJAPShoda
,Chief of Army,Sugiyama Hajime,8,Decisive Battle Doctrine,MJAPSugiyama2
,Chief of Staff,Sugiyama Hajime,8,School of Defence,MJAPSugiyama2
,Chief of Navy,Takahashi Sankichi,8,Power Projection Doctrine,MJAPTakahashi
,Minister of Security,Tanabe Harumichi,8,Crooked Kleptocrat,MJAPTanabe
,Head of Government,Tanaka Giichi,8,Old General,MJAPTanaka3
,Head of Military Intelligence,Tanaka Ryukichi,8,Political Specialist,MJAPTanaka2
,Foreign Minister,Tatekawa Yoshitsugu,8,General Staffer,MJAPTatekawa
,Minister of Armament,Terauchi Hisaichi,8,Tank Proponent,MJAPTerauchi
,Minister of Security,Teshima Fusataro,8,Prince of Terror,MJAPTeshima
,Chief of Air Force,Tojo Hideki,8,Army Aviation Doctrine,MJAPTojo
,Chief of Army,Tojo Hideki,8,Elastic Defence Doctrine,MJAPTojo
,Chief of Staff,Tojo Hideki,8,School of Psychology,MJAPTojo
,Foreign Minister,Tojo Hideki,8,General Staffer,MJAPTojo
,Head of Government,Tojo Hideki,8,Old General,MJAPTojo
,Minister of Armament,Tojo Hideki,8,Infantry Proponent,MJAPTojo
,Minister of Security,Tojo Hideki,8,Prince of Terror,MJAPTojo
,Chief of Army,Tsuchihashi Yuitsu,8,Decisive Battle Doctrine,MJAPTsuchihashi
,Head of Military Intelligence,Tsuchihashi Yuitsu,8,Technical Specialist,MJAPTsuchihashi
,Head of Military Intelligence,Tsuji Masanobu,8,Dismal Enigma,MJAPTsuji
,Chief of Air Force,Ushiroku Jun,8,Army Aviation Doctrine,MJAPUshiroku2
,Chief of Navy,Yamamoto Eisuke,8,Decisive Naval Battle Doctrine,MJAPYamasuke
,Foreign Minister,Yamamoto Kumaichi,8,Ideological Crusader,MJAPYamamoto2
,Head of Military Intelligence,Yamazaki Iwao,8,Industrial Specialist,MJAPYamazaki2
,Minister of Security,Yamazaki Iwao,8,Prince of Terror,MJAPYamazaki2
,Minister of Armament,Yoshida Shigeru,8,Military Entrepreneur,MJAPYoshida
,Minister of Security,Yuzawa Michio,8,Man of the People,MJAPYuzawa
,Head of Military Intelligence,Akao Bin,9,Dismal Enigma,MJAPAkao
,Minister of Security,Akao Bin,9,Compassionate Gentleman,MJAPAkao
,Chief of Army,Araki Sadao,9,Decisive Battle Doctrine,MJAPAraki
,Chief of Staff,Araki Sadao,9,School of Psychology,MJAPAraki
,Head of Government,Araki Sadao,9,Flamboyant Tough Guy,MJAPAraki
,Head of Military Intelligence,Araki Sadao,9,Political Specialist,MJAPAraki
,Minister of Armament,Arima Yoriyasu,9,Infantry Proponent,MJAPArima
,Minister of Security,Goto Fumio,9,Prince of Terror,MJAPGoto2
,Head of Military Intelligence,Hashimoto Kingoro,9,Dismal Enigma,MJAPHashimoto
,Minister of Security,Hirano Rikizo,9,Crooked Kleptocrat,MJAPHirano
,Minister of Armament,Hoshino Naoki,9,Resource Industrialist,MJAPHoshino
,Foreign Minister,Ishihara Koichiro,9,The Cloak N Dagger Schemer,MJAPIshihara
,Minister of Armament,Ishiwata Sotaro,9,Resource Industrialist,MJAPIshiwata
,Chief of Navy,Kami Shigenori,9,Decisive Naval Battle Doctrine,MJAPKami
,Minister of Armament,Kawanami Toyosaku,9,Military Entrepreneur,MJAPKawanami
,Minister of Security,Kawarada Kakichi,9,Man of the People,MJAPKawarada
,Head of Government,Kaya Okinori,9,Silent Workhorse,MJAPKaya
,Minister of Armament,Kaya Okinori,9,Laissez-Faire Capitalist,MJAPKaya
,Head of Military Intelligence,Kazami Akira,9,Technical Specialist,MJAPKazami
,Head of Government,Kido Koichi,9,Political Protege,MJAPKido
,Head of Government,Kishi Nobusuke,9,Backroom Backstabber,MJAPKishi2
,Minister of Armament,Kishi Nobusuke,9,Planned Economy Proponent,MJAPKishi2
,Head of Military Intelligence,Kodama Yoshio,9,Industrial Specialist,MJAPKodama
,Minister of Security,Kodama Yoshio,9,Crooked Kleptocrat,MJAPKodama
,Foreign Minister,Konoe Fumimaro,9,Apologetic Clerk,MJAPKonoe
,Head of Government,Konoe Fumimaro,9,Corporate Suit,MJAPKonoe
,Head of Government,Kuhara Fusanosuke,9,Smiling Oilman,MJAPKuhara
,Chief of Army,Masaki Jinzaburo,9,Static Defence Doctrine,MJAPMasaki
,Chief of Staff,Masaki Jinzaburo,9,School of Psychology,MJAPMasaki
,Head of Government,Masaki Jinzaburo,9,Happy Amateur,MJAPMasaki
,Foreign Minister,Matsuoka Yosuke,9,Iron Fisted Brute,MJAPMatsuoka2
,Head of Government,Matsuoka Yosuke,9,Flamboyant Tough Guy,MJAPMatsuoka
,Foreign Minister,Miyazaki Ryusuke,9,Apologetic Clerk,MJAPMiyazaki
,Foreign Minister,Murata Shozo,9,Great Compromiser,MJAPMurata
,Minister of Armament,Murata Shozo,9,Battle Fleet Proponent,MJAPMurata
,Foreign Minister,Nakano Seigo,9,Biased Intellectual,MJAPNakano
,Head of Government,Nakano Seigo,9,Ambitious Union Boss,MJAPNakano
,Head of Military Intelligence,Nishida Mitsugi,9,Political Specialist,MJAPNishida
,Chief of Air Force,Obata Hideyoshi,9,Air Superiority Doctrine,MJAPObata
,Minister of Armament,Ogawa Heikichi,9,Corrupt Kleptocrat,MJAPOgawa
,Minister of Security,Okada Tadahiko,9,Back Stabber,MJAPOkada
,Foreign Minister,Okawa Shumei,9,Ideological Crusader,MJAPOkawa
,Head of Military Intelligence,Onodera Makoto,9,Logistics Specialist,MJAPOnodera
,Foreign Minister,Oshima Hiroshi,9,General Staffer,MJAPOshima
,Head of Government,Sasakawa Ryoichi,9,Smiling Oilman,MJAPSasakawa
,Minister of Armament,Sasakawa Ryoichi,9,Air Superiority Proponent,MJAPSasakawa
,Foreign Minister,Shiina Etsusaburo,9,Great Compromiser,MJAPShiina
,Head of Military Intelligence,Shiina Etsusaburo,9,Industrial Specialist,MJAPShiina
,Foreign Minister,Shiratori Toshio,9,Iron Fisted Brute,MJAPShiratori
,Chief of Navy,Suetsugu Nobumasa,9,Indirect Approach Doctrine,MJAPSuetsugu
,Minister of Security,Suetsugu Nobumasa,9,Crime Fighter,MJAPSuetsugu
,Foreign Minister,Suzuki Teiichi,9,General Staffer,MJAPSuzuki3
,Minister of Armament,Suzuki Teiichi,9,Military Entrepreneur,MJAPSuzuki3
,Minister of Security,Tachibana Kozaburo,9,Man of the People,MJAPTachibana
,Minister of Security,Taki Masao,9,Silent Lawyer,MJAPTaki
,Minister of Armament,Tojo Tadashi,9,Laissez-Faire Capitalist,MJAPTojo2
,Head of Military Intelligence,Tokugawa Yoshichika,9,Dismal Enigma,MJAPTokugawa
,Minister of Armament,Tsukumo Kunitoshi,9,Resource Industrialist,MJAPTsukumo
,Chief of Air Force,Yamashita Tomoyuki,9,Carpet Bombing Doctrine,MJAPYamashita
,Chief of Army,Yamashita Tomoyuki,9,Armoured Spearhead Doctrine,MJAPYamashita
,Chief of Staff,Yamashita Tomoyuki,9,School of Manoeuvre,MJAPYamashita
,Minister of Security,Yanagawa Heisuke,9,Prince of Terror,MJAPYanagawa
,Chief of Air Force,Yasuda Takeo,9,Naval Aviation Doctrine,MJAPYasuda
,Minister of Security,Yasui Eiji,9,Health and Safety,MJAPYasui
,Minister of Armament,Yoshino Shinji,9,Administrative Genius,MJAPYoshino
,Minister of Armament,Yotsumoto Yoshitaka,9,Resource Industrialist,MJAPYotsumoto
