BRA,Ruling Cabinet - Start,Name,Start Year,End Year,Retirement Year,Ideology,Personality,Loyalty,Picturename,X
34419,Head of State,Sylvio de Noronha,1943,1964,1999,6,Autocratic Charmer,High,M34019,x
34420,Head of Government,Sylvio de Noronha,1943,1964,1999,6,Old Admiral,High,M34019,x
34421,Head of State,Magalhães Barata de Azevedo,1943,1964,1999,7,Resigned Generalissimo,High,M34037,x
34422,Head of Government,Magalhães Barata de Azevedo,1943,1964,1999,7,Smiling Oilman,Medium,M34037,x
34423,Head of Government,Olímpio Mourão Filho,1936,1964,1999,8,Political Protege,medium,BRA_Olimpio_Mourao_Filho,x
34424,Head of State,Eduardo Pacheco Chaves,1954,1964,1999,6,Benevolent Gentleman,Medium,Eduardo_Pacheco_Chaves,x
34425,Head of Government,Eduardo Pacheco Chaves,1954,1964,1999,6,Old Airmarshal,Medium,Eduardo_Pacheco_Chaves,x
34426,Head of State,Newton Cavalcanti,1944,1964,1999,7,Stern Imperialist,Medium,M34047,x
34427,Head of Government,Newton Cavalcanti,1944,1964,1999,7,Silent Workhorse,Medium,M34047,x
34428,Head of State,Figueira de Almeida,1943,1964,1999,6,Pig-headed Isolationist,Medium,M34020,x
34429,Head of Government,Figueira de Almeida,1943,1964,1999,6,Naive Optimist,Medium,M34020,x
34430,Head of State,Djalma Dutra,1936,1964,1999,7,powerhungry demagogue,medium,BRA_Djalma_Dutra,x
34431,Head of Government,Djalma Dutra,1936,1964,1999,7,Happy Amateur,medium,BRA_Djalma_Dutra,x
34432,Head of State,Humberto de Alencar Castelo-Branco,1936,1964,1999,6,Resigned Generalissimo,medium,BRA_castelo_branco,x
34433,Head of Government,Humberto de Alencar Castelo-Branco,1936,1964,1999,6,Old General,medium,BRA_castlo_branco,x
34434,Head of State,Lívio Xavier,1936,1964,1999,1,Pig-headed Isolationist,Medium,BRA_Livio_Xavier,x
34435,Head of Government,Avelino Fóscolo,1936,1964,1999,2,Political Protege,medium,BRA_Avelino_Foscolo,x
34436,Head of State,João da Costa Pimenta,1936,1964,1999,2,Popular Figurehead,Medium,BRA_Joao_da_Costa_Pimenta,x
34437,Head of State,Avelino Fóscolo,1936,1964,1999,2,Insignificant Layman,medium,BRA_Avelino_Foscolo,x
34438,Head of Government,Edgard Leuenroth,1936,1964,1999,2,Silent Workhorse,Medium,BRA_Edgard_Leuenroth,x
34439,Head of Government,Minervino de Oliveira,1936,1964,1999,1,Naive Optimist,Medium,BRA_Minervino_de_Oliveira,x
34440,Head of Government,José Oiticica,1936,1964,1999,2,Naive Optimist,medium,BRA_Jose_Oiticica,x
34441,Head of Government,Zenon de Almeida Budaszewski,1936,1964,1999,2,Happy Amateur,medium,BRA_Zenon_de_Almeida,x
34442,Head of Government,Henrique Teixeira Lott,1937,1964,1999,2,Flamboyant Tough Guy,Medium,M34027,x
34443,Head of Government,Lauro Reginaldo da Rocha,1948,1964,1999,1,Ambitious Union Boss,Medium,BRA_Lauro_Reginaldo_da_Rocha,x
34444,Head of State,José Oiticica,1936,1964,1999,2,Weary Stiffneck,medium,BRA_Jose_Oiticica,x
34445,Head of State,Zenon de Almeida Budaszewski,1936,1964,1999,2,Popular Figurehead,medium,BRA_Zenon_de_Almeida,x
34446,Head of State,Iedo Fiúza,1944,1964,1999,1,Insignificant Layman,Medium,BRA_iedo_fiuza,x
34447,Head of Government,Iedo Fiúza,1944,1964,1999,1,Silent Workhorse,Medium,BRA_iedo_fiuza,x
34448,Head of State,João Amazonas,1944,1964,1999,1,Die-hard Reformer,Medium,BRA_joao_amazonas,x
34449,Head of Government,João Amazonas,1944,1964,1999,1,Ambitious Union Boss,Medium,BRA_joao_amazonas,x
34450,Head of State,João Penteado,1936,1964,1999,2,Pig-headed Isolationist,medium,BRA_Joao_Penteado,x
34451,Head of Government,João Penteado,1936,1964,1999,2,Backroom Backstabber,medium,BRA_Joao_Penteado,x
34452,Head of State,Francisco Julião,1955,1964,1999,2,Benevolent Gentleman,medium,BRA_francisco_juliao,x
34453,Head of Government,Francisco Julião,1955,1964,1999,2,Corporate Suit,medium,BRA_francisco_juliao,x
34454,Head of State,Elza Monnerat,1953,1964,1999,1,Barking Buffoon,medium,BRA_elza_monnerat,x
34455,Head of Government,Elza Monnerat,1953,1964,1999,1,Political Protege,medium,BRA_elza_monnerat,x
34456,Head of State,Carlos Marighella,1951,1964,1999,1,powerhungry demagogue,medium,BRA_carlos_marighella,x
34457,Head of Government,Carlos Marighella,1951,1964,1999,1,Silent Workhorse,medium,BRA_carlos_marighella,x
34458,Head of Government,Juarez Távora,1938,1964,1999,1,Smiling Oilman,medium,BRA_Juarez_Tavora,x
34459,Head of State,Miguel Arraes,1956,1964,1999,2,Popular Figurehead,medium,BRA_miguel_arraes,x
34460,Head of Government,Miguel Arraes,1956,1964,1999,2,Silent Workhorse,medium,BRA_miguel_arraes,x
34461,Head of State,Patrícia Galvão,1960,1964,1999,2,Weary Stiffneck,medium,BRA_Patricia_Galvao,x
34462,Head of Government,Patrícia Galvão,1960,1964,1999,2,Happy Amateur,medium,BRA_Patricia_Galvao,x
34463,Head of State,Pedro Inácio de Araújo,1959,1964,1999,1,Autocratic Charmer,medium,BRA_pedro_inacio_de_araujo,x
34464,Head of Government,Pedro Inácio de Araújo,1959,1964,1999,1,Naive Optimist,medium,BRA_pedro_inacio_de_araujo,x
34465,Head of Government,Miguel Reale,1950,1964,1999,9,Political Protege,medium,BRA_Miguel_Reale,x
34466,Head of Government,Severo Fournier,1936,1964,1999,9,Political Protege,medium,BRA_severo_fournier,x
34467,Head of Government,Atanagildo França,1936,1964,1999,9,Old General,medium,BRA_Atanagildo_Franca,x
34468,Head of Government,Luís da Câmara Cascudo,1936,1964,1999,8,Flamboyant Tough Guy,medium,BRA_Luis_da_Camara_Cascudo,x
34469,Head of Government,Gustavo Capanema,1936,1964,1999,8,Naive Optimist,medium,BRA_Gustavo_Capanema,x
34470,Head of Government,João Cândido,1960,1964,1999,8,Happy Amateur,medium,BRA_joao_candido,x
34471,Head of Government,Arlindo Veiga dos Santos,1936,1964,1999,9,Political Protege,medium,BRA_arlindo_veiga_dos_santos,x
34472,Head of Government,Antônio Paim Vieira,1940,1964,1999,9,Happy Amateur,medium,unknown,x
34473,Head of State,S.M.I. Dom Pedro Gastão de Orléans e Bragança,1936,1964,1999,7,Popular Figurehead,medium,BRA_dom_pedro_gastao,x
34474,Head of State,S.M.I. Dom Pedro Henrique de Orléans e Bragança,1936,1964,1999,7,Stern Imperialist,medium,BRA_dom_pedro_henrique,x
34475,Head of Government,José Américo de Almeida,1937,1964,1999,3,Silent Workhorse,Medium,M34024,x
34476,Head of State,Juscelino Kubitscheck,1954,1964,1999,4,Benevolent Gentleman,medium,BRA_juscelino_kubitscheck,x
34477,Head of Government,Juscelino Kubitscheck,1954,1964,1999,4,Silent Workhorse,medium,BRA_juscelino_kubitscheck,x
34478,Head of State,Prestes Maia,1936,1964,1999,5,Ruthless Powermonger,Medium,Prestes_Maia,x
34479,Head of Government,S.E.R. Dom Miguel de Lima Valverde,1948,1964,1999,7,Happy Amateur,medium,BRA_miguel_de_lima_valverde,x
34480,Head of Government,S.E.R. Dom Augusto Álvaro da Silva,1960,1964,1999,8,Backroom Backstabber,medium,BRA_augusto_alvaro_da_silva,x
34481,Head of Government,S.E.R. Dom Jaime de Barros Câmara,1960,1964,1999,7,Political Protege,medium,BRA_jaime_de_barros_camara,x
34482,Foreign Minister,S.E.R. Dom Miguel de Lima Valverde,1948,1964,1999,7,Ideological Crusader,medium,BRA_miguel_de_lima_valverde,x
34483,Foreign Minister,S.E.R. Dom Augusto Álvaro da Silva,1960,1964,1999,8,Apologetic Clerk,medium,BRA_augusto_alvaro_da_silva,x
34485,Foreign Minister,S.E.R. Dom Jaime de Barros Câmara,1960,1964,1999,7,iron fisted brute,medium,BRA_jaime_de_barros_camara,x
